
#####
##### DOWNLOADS
#####

# 2016-06-29
Item,Value,Value Percent,Conversions,Conversion Percent,URL,Stats URL
"The House That Uncle Sam Built (PDF)",2,0,,,"https://fee.org/media/4921/houseunclesambuiltbooklet.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=https%3A%2F%2Ffee.org%2Fmedia%2F4921%2Fhouseunclesambuiltbooklet.pdf"
"here",2,0,,,"http://fee-misc.s3.amazonaws.com/files/docLib/20130620_FEEAreWeRomeCover1V5.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=http%3A%2F%2Ffee-misc.s3.amazonaws.com%2Ffiles%2FdocLib%2F20130620_FEEAreWeRomeCover1V5.pdf"
"huebert0405",1,0,,,"https://fee.org/media/4441/huebert0405.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=https%3A%2F%2Ffee.org%2Fmedia%2F4441%2Fhuebert0405.pdf"
"recent literature review by the Friedman Foundation for Educational Choice",1,0,,,"http://edchoice.org/getattachment/School-Choice/School-Choice-FAQs/Can-school-choice-lead-to-more-integrated-schools.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=http%3A%2F%2Fedchoice.org%2Fgetattachment%2FSchool-Choice%2FSchool-Choice-FAQs%2FCan-school-choice-lead-to-more-integrated-schools.pdf"
"Marxism Unmasked (PDF)",1,0,,,"https://fee.org/media/15011/20130703_marxismunmasked.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=https%3A%2F%2Ffee.org%2Fmedia%2F15011%2F20130703_marxismunmasked.pdf"
"davies0705",1,0,,,"https://fee.org/media/4616/davies0705.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=https%3A%2F%2Ffee.org%2Fmedia%2F4616%2Fdavies0705.pdf"
"Not Yours To Give (PDF)",1,0,,,"https://fee.org/media/14953/notyourstogive.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=https%3A%2F%2Ffee.org%2Fmedia%2F14953%2Fnotyourstogive.pdf"
"ftp0305",1,0,,,"https://fee.org/media/4446/ftp0305.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=https%3A%2F%2Ffee.org%2Fmedia%2F4446%2Fftp0305.pdf"
"ever-decreasing rate",1,0,,,"http://bjs.gov/content/pub/pdf/fv9311.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=http%3A%2F%2Fbjs.gov%2Fcontent%2Fpub%2Fpdf%2Ffv9311.pdf"
"version",1,0,,,"https://colorado.gov/pacific/sites/default/files/PF_Youth_MJ-Infographic-Digital.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=https%3A%2F%2Fcolorado.gov%2Fpacific%2Fsites%2Fdefault%2Ffiles%2FPF_Youth_MJ-Infographic-Digital.pdf"
"Economic Sophisms (PDF)",1,0,,,"https://fee.org/media/15009/economicsophisms1.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=https%3A%2F%2Ffee.org%2Fmedia%2F15009%2Feconomicsophisms1.pdf"
"The Problem of Social Cost",1,0,,,"http://econ.ucsb.edu/~tedb/Courses/UCSBpf/readings/coase.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=http%3A%2F%2Fecon.ucsb.edu%2F%7Etedb%2FCourses%2FUCSBpf%2Freadings%2Fcoase.pdf"
"people",1,0,,,"http://econ.yale.edu/~shiller/pubs/p1089.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=http%3A%2F%2Fecon.yale.edu%2F%7Eshiller%2Fpubs%2Fp1089.pdf"
"Toward a Theory of Property Rights",1,0,,,"http://econ.ucsb.edu/~tedb/Courses/Ec100C/Readings/Demsetz_Property_Rights.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=http%3A%2F%2Fecon.ucsb.edu%2F%7Etedb%2FCourses%2FEc100C%2FReadings%2FDemsetz_Property_Rights.pdf"
"Herding",1,0,,,"https://imf.org/external/pubs/ft/wp/2000/wp0048.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=https%3A%2F%2Fimf.org%2Fexternal%2Fpubs%2Fft%2Fwp%2F2000%2Fwp0048.pdf"
"American Economics Journal",1,0,,,"http://anderson.ucla.edu/faculty/paola.giuliano/Giuliano_AEJ_2013.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=http%3A%2F%2Fanderson.ucla.edu%2Ffaculty%2Fpaola.giuliano%2FGiuliano_AEJ_2013.pdf"
"Get the PDF",1,0,,,"https://fee.org/files/doclib/20121116_TheLaw.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=https%3A%2F%2Ffee.org%2Ffiles%2Fdoclib%2F20121116_TheLaw.pdf"
"explained",1,0,,,"http://uvm.edu/~wgibson/Of_interest/Tariffs_Poor_0902.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=http%3A%2F%2Fuvm.edu%2F%7Ewgibson%2FOf_interest%2FTariffs_Poor_0902.pdf"
"according to researcher Michael Brady",1,0,,,"https://nheri.org/pdfs/154B.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=https%3A%2F%2Fnheri.org%2Fpdfs%2F154B.pdf"
"The Food-Safety Fallacy: More Regulation Doesn’t Necessarily Make Food Safer",1,0,,,"http://nulj.org/journal/NULJ-Food-Law-Baylen-J-Linnekin.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=http%3A%2F%2Fnulj.org%2Fjournal%2FNULJ-Food-Law-Baylen-J-Linnekin.pdf"
"Mises: The Annotated Bibliography",1,0,,,"https://fee.org/media/12308/mises-annotated-bibliography.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=https%3A%2F%2Ffee.org%2Fmedia%2F12308%2Fmises-annotated-bibliography.pdf"
"Women’s Economic Security Act",1,0,,,"http://mn.gov/governor/images/2014_05_11_wesa_fact_sheet.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=http%3A%2F%2Fmn.gov%2Fgovernor%2Fimages%2F2014_05_11_wesa_fact_sheet.pdf"
" Download the The Freeman: Spring 2016 issue (PDF)",1,0,,,"https://fee.org/media/13911/freeman-spring-2016.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=https%3A%2F%2Ffee.org%2Fmedia%2F13911%2Ffreeman-spring-2016.pdf"
"Great Myths of the Great Depression",1,0,,,"https://fee.org/files/doclib/20121119_greatmyths2011finalweb1.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=https%3A%2F%2Ffee.org%2Ffiles%2Fdoclib%2F20121119_greatmyths2011finalweb1.pdf"
"“Individualism: True and False”",1,0,,,"http://mises.org/books/individualismandeconomicorder.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=http%3A%2F%2Fmises.org%2Fbooks%2Findividualismandeconomicorder.pdf"
"majority of empirical studies",1,0,,,"http://economicgrowthdc.org/work/assets/Minimum-Wage-Employment-Effect.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=http%3A%2F%2Feconomicgrowthdc.org%2Fwork%2Fassets%2FMinimum-Wage-Employment-Effect.pdf"
"reduce employment among the targeted groups",1,0,,,"http://object.cato.org/sites/cato.org/files/serials/files/cato-journal/1991/1/cj10n3-7.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=http%3A%2F%2Fobject.cato.org%2Fsites%2Fcato.org%2Ffiles%2Fserials%2Ffiles%2Fcato-journal%2F1991%2F1%2Fcj10n3-7.pdf"
"that exceeded",1,0,,,"http://users.nber.org/~cortesk/reveconstats2004.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=http%3A%2F%2Fusers.nber.org%2F%7Ecortesk%2Freveconstats2004.pdf"
"Emperor Tiberius faced a panic in the banking industry",1,0,,,"http://object.cato.org/sites/cato.org/files/serials/files/cato-journal/1994/11/cj14n2-7.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=http%3A%2F%2Fobject.cato.org%2Fsites%2Fcato.org%2Ffiles%2Fserials%2Ffiles%2Fcato-journal%2F1994%2F11%2Fcj14n2-7.pdf"
"Roofs-or-Ceilings",1,0,,,"https://fee.org/media/4907/roofs-or-ceilings.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=https%3A%2F%2Ffee.org%2Fmedia%2F4907%2Froofs-or-ceilings.pdf"
"reed0603",1,0,,,"https://fee.org/media/4593/reed0603.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=https%3A%2F%2Ffee.org%2Fmedia%2F4593%2Freed0603.pdf"
"Review FEE's latest results in our 2015 Annual Report (PDF).",1,0,,,"http://fee.org/media/13457/feeannualreport-2015.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=http%3A%2F%2Ffee.org%2Fmedia%2F13457%2Ffeeannualreport-2015.pdf"
"a new study",1,0,,,"http://urban.org/sites/default/files/alfresco/publication-pdfs/2000785-The-Sanders-Single-Payer-Health-Care-Plan.pdf","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=http%3A%2F%2Furban.org%2Fsites%2Fdefault%2Ffiles%2Falfresco%2Fpublication-pdfs%2F2000785-The-Sanders-Single-Payer-Health-Care-Plan.pdf"
"I, Pencil (ePub)",1,0,,,"https://fee.org/media/14892/read-i-pencil.epub","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=https%3A%2F%2Ffee.org%2Fmedia%2F14892%2Fread-i-pencil.epub"
"I, Pencil (MOBI)",1,0,,,"https://fee.org/media/14893/read-i-pencil.mobi","http://clicky.com/stats/visitors?site_id=100931785&date=2016-06-29&href=https%3A%2F%2Ffee.org%2Fmedia%2F14893%2Fread-i-pencil.mobi"
